,lat,lon,State Code,type
0,33.5867,-88.6619,MS,Med&Vac
1,33.5867,-88.6619,MS,Med&Vac
2,33.5867,-88.6619,MS,Med&Vac
3,33.5867,-88.6619,MS,Med&Vac
4,33.5867,-88.6619,MS,Med&Vac
5,33.5867,-88.6619,MS,Med&Vac
6,33.5867,-88.6619,MS,Med&Vac
7,33.5867,-88.6619,MS,Med&Vac
8,33.5867,-88.6619,MS,Med&Vac
9,33.5867,-88.6619,MS,Med&Vac
10,33.5867,-88.6619,MS,Med&Vac
11,33.5867,-88.6619,MS,Med&Vac
12,33.5867,-88.6619,MS,Med&Vac
13,33.5867,-88.6619,MS,Med&Vac
14,33.5867,-88.6619,MS,Med&Vac
15,33.5867,-88.6619,MS,Med&Vac
16,33.5867,-88.6619,MS,Med&Vac
17,33.5867,-88.6619,MS,Med&Vac
18,33.5867,-88.6619,MS,Med&Vac
19,33.5867,-88.6619,MS,Med&Vac
20,32.3658,-90.1464,MS,Med&Vac
21,32.3658,-90.1464,MS,Med&Vac
22,32.3658,-90.1464,MS,Med&Vac
23,32.3658,-90.1464,MS,Med&Vac
24,32.3658,-90.1464,MS,Med&Vac
25,32.3658,-90.1464,MS,Med&Vac
26,32.3658,-90.1464,MS,Med&Vac
27,32.3658,-90.1464,MS,Med&Vac
28,32.3658,-90.1464,MS,Med&Vac
29,32.3658,-90.1464,MS,Med&Vac
30,32.3658,-90.1464,MS,Med&Vac
31,32.3658,-90.1464,MS,Med&Vac
32,32.3658,-90.1464,MS,Med&Vac
33,32.3658,-90.1464,MS,Med&Vac
34,32.3658,-90.1464,MS,Med&Vac
35,32.3658,-90.1464,MS,Med&Vac
36,32.3658,-90.1464,MS,Med&Vac
37,32.3658,-90.1464,MS,Med&Vac
38,32.3658,-90.1464,MS,Med&Vac
39,32.3658,-90.1464,MS,Med&Vac
40,31.3245,-89.3475,MS,Med&Vac
41,31.3245,-89.3475,MS,Med&Vac
42,31.3245,-89.3475,MS,Med&Vac
43,31.3245,-89.3475,MS,Med&Vac
44,31.3245,-89.3475,MS,Med&Vac
45,31.3245,-89.3475,MS,Med&Vac
46,31.3245,-89.3475,MS,Med&Vac
47,31.3245,-89.3475,MS,Med&Vac
48,31.3245,-89.3475,MS,Med&Vac
49,31.3245,-89.3475,MS,Med&Vac
50,34.655,-88.5635,MS,Med&Vac
51,34.655,-88.5635,MS,Med&Vac
52,34.655,-88.5635,MS,Med&Vac
53,34.655,-88.5635,MS,Med&Vac
54,34.655,-88.5635,MS,Med&Vac
55,34.655,-88.5635,MS,Med&Vac
56,34.655,-88.5635,MS,Med&Vac
57,34.655,-88.5635,MS,Med&Vac
58,34.655,-88.5635,MS,Med&Vac
59,34.655,-88.5635,MS,Med&Vac
60,31.3232,-89.3728,MS,Med&Vac
61,31.3232,-89.3728,MS,Med&Vac
62,31.3232,-89.3728,MS,Med&Vac
63,31.3232,-89.3728,MS,Med&Vac
64,31.3232,-89.3728,MS,Med&Vac
65,31.3232,-89.3728,MS,Med&Vac
66,31.3232,-89.3728,MS,Med&Vac
67,31.3232,-89.3728,MS,Med&Vac
68,31.3232,-89.3728,MS,Med&Vac
69,31.3232,-89.3728,MS,Med&Vac
70,31.3232,-89.3728,MS,Med&Vac
71,31.3232,-89.3728,MS,Med&Vac
72,31.3232,-89.3728,MS,Med&Vac
73,31.3232,-89.3728,MS,Med&Vac
74,31.3232,-89.3728,MS,Med&Vac
75,31.3232,-89.3728,MS,Med&Vac
76,31.3232,-89.3728,MS,Med&Vac
77,31.3232,-89.3728,MS,Med&Vac
78,31.3232,-89.3728,MS,Med&Vac
79,31.3232,-89.3728,MS,Med&Vac
80,30.3798,-89.0923,MS,Med&Vac
81,30.3798,-89.0923,MS,Med&Vac
82,30.3798,-89.0923,MS,Med&Vac
83,30.3798,-89.0923,MS,Med&Vac
84,30.3798,-89.0923,MS,Med&Vac
85,30.3798,-89.0923,MS,Med&Vac
86,30.3798,-89.0923,MS,Med&Vac
87,30.3798,-89.0923,MS,Med&Vac
88,30.3798,-89.0923,MS,Med&Vac
89,30.3798,-89.0923,MS,Med&Vac
90,31.6107,-89.2047,MS,Med&Vac
91,31.6107,-89.2047,MS,Med&Vac
92,31.6107,-89.2047,MS,Med&Vac
93,31.6107,-89.2047,MS,Med&Vac
94,31.6107,-89.2047,MS,Med&Vac
95,31.6107,-89.2047,MS,Med&Vac
96,31.6107,-89.2047,MS,Med&Vac
97,31.6107,-89.2047,MS,Med&Vac
98,31.6107,-89.2047,MS,Med&Vac
99,31.6107,-89.2047,MS,Med&Vac
115,34.6579,-88.5657,MS,Medicine Facility
1453,34.3181,-88.4924,MS,Medicine Facility
1485,34.6289,-89.9681,MS,Medicine Facility
1874,30.4123,-88.7843,MS,Medicine Facility
2153,30.4114,-89.0273,MS,Medicine Facility
2746,32.7699,-89.1289,MS,Medicine Facility
3333,34.9129,-88.5172,MS,Medicine Facility
3542,32.3273,-90.1962,MS,Medicine Facility
3670,31.6958,-89.1466,MS,Medicine Facility
3791,31.2556,-89.8065,MS,Medicine Facility
3795,32.3288,-90.1755,MS,Medicine Facility
3811,30.307,-89.3784,MS,Medicine Facility
3871,31.5639,-91.353,MS,Medicine Facility
4233,31.5946,-89.8733,MS,Medicine Facility
4329,32.3759,-89.4739,MS,Medicine Facility
4535,33.411,-91.0348,MS,Medicine Facility
4578,32.7281,-89.5494,MS,Medicine Facility
4746,34.3055,-89.0478,MS,Medicine Facility
5158,31.7221,-91.0583,MS,Medicine Facility
5273,31.1458,-90.4595,MS,Medicine Facility
5588,33.0663,-89.5884,MS,Medicine Facility
6482,32.376,-90.8273,MS,Medicine Facility
7208,31.872,-89.7306,MS,Medicine Facility
7273,34.2578,-88.7149,MS,Medicine Facility
7308,32.3359,-90.0954,MS,Medicine Facility
7659,33.475,-88.8205,MS,Medicine Facility
7965,32.399,-90.1241,MS,Medicine Facility
8007,31.3467,-89.261,MS,Medicine Facility
8380,32.3396,-90.8632,MS,Medicine Facility
8988,30.3911,-88.6522,MS,Medicine Facility
9181,34.7235,-88.9506,MS,Medicine Facility
9791,32.3143,-90.1784,MS,Medicine Facility
10933,30.4438,-89.0934,MS,Medicine Facility
11660,32.7315,-89.536,MS,Medicine Facility
12967,34.4983,-89.0289,MS,Medicine Facility
13235,33.5322,-90.1926,MS,Medicine Facility
13475,31.5911,-89.8735,MS,Medicine Facility
13566,31.3162,-89.3951,MS,Medicine Facility
13814,34.9337,-89.9375,MS,Medicine Facility
14511,31.4734,-90.8849,MS,Medicine Facility
15112,30.4516,-89.1013,MS,Medicine Facility
16554,32.3532,-89.6704,MS,Medicine Facility
16982,34.9669,-89.9962,MS,Medicine Facility
18604,33.1248,-89.027,MS,Medicine Facility
18816,34.9602,-89.9962,MS,Medicine Facility
18820,32.325,-90.2967,MS,Medicine Facility
18868,32.4622,-90.1067,MS,Medicine Facility
18981,34.3123,-89.9447,MS,Medicine Facility
19549,33.5347,-89.2657,MS,Medicine Facility
19895,32.2878,-90.2703,MS,Medicine Facility
20221,32.5724,-89.1042,MS,Medicine Facility
21223,31.3251,-89.3283,MS,Medicine Facility
21642,30.9231,-88.5939,MS,Medicine Facility
21765,30.398,-89.026,MS,Medicine Facility
22747,34.3155,-88.7042,MS,Medicine Facility
23441,32.3219,-90.876,MS,Medicine Facility
